start,end,type,title,UID,speaker,lang,has_sub,video_url,chat_url
9:45,9:50,org,PyConES 2020 Opening,,,,,59aGe7E-7l8,
10:00,10:15,talk,COVID19Gram: seguimiento de la evolución del coronavirus desde telegram,6,Antònia Tugores / Biel Frontera Borrueco / Jaume Perelló Perelló,,,p0lav_dPSxE,https://comunidad.es.python.org/t/covid19gram-seguimiento-de-la-evolucion-del-coronavirus-desde-telegram/356/2
10:15,10:20,community,Python Castilla y León & PyData Salamanca,5,,,,WeGSIZ-3SI8,
10:30,10:45,talk,Investigating Digital Crimes using Python,9,Gajendra Deshpande,en,,0Jt-xm7kC2Y,https://comunidad.es.python.org/t/investigating-digital-crimes-using-python/372/1
10:45,10:59,community,Python Navarra,12,,,,C-vdmYFfWck,
11:00,11:15,talk,Interpretabilidad de Modelos de Machine Learning con Python,7,Antonio José Soto Rodriguez,,,CoghIHdAMSM,https://comunidad.es.python.org/t/interpretabilidad-de-modelos-de-machine-learning-con-python/365/1
11:15,11:20,community,Python Almería,2,,,,Doub2vARmrc,
11:30,11:45,talk,Videojuegos con Python Arcade,13,Miguel Ángel Rico Blanco,,,8kRgYh2lgTo,https://comunidad.es.python.org/t/videojuegos-con-python-arcade/366/1
11:45,11:50,community,Malaga Python,9,,,,wnhtNjsSLe8,
12:00,12:15,talk,Tipificación estática en Python 3.9,10,Jordi Contestí,,,2vYOxbd2ioc,https://comunidad.es.python.org/t/tipificacion-estatica-en-python-3-9/367/1
12:15,12:20,community,Python Murcia,11,,,,BgnbYAZTMDQ,
12:30,12:45,talk,Python en el universo de las lentes gravitatorias: cómo estudiar el efecto microlente,3,Ana Esteban Gutiérrez,,,elAt6b7wpFc,https://comunidad.es.python.org/t/python-en-el-universo-de-las-lentes-gravitatorias-como-estudiar-el-efecto-microlente/368/1
12:45,12:50,community,Python Granada,6,,,,pgKXhg0cDyE,
13:00,13:15,talk,EDA and NLP basics: Exploring the innards of the Spanish poetry,4,Andrea Morales Garzón / Miguel López Pérez,,,0C96vAa9NHY,https://comunidad.es.python.org/t/eda-and-nlp-basics-exploring-the-innards-of-the-spanish-poetry/369/1
13:15,13:20,community,Python Barcelona & PyLadies Barcelona,3,,,,JYCcPr4QW_k,
13:30,13:45,talk,Python Serverless Microservices,15,Nilo Ney Coutinho Menezes,en,,OSUqGyPaXaI,https://comunidad.es.python.org/t/python-serverless-microservices/370/1
13:45,15:00,lunch,Almuerzo,,,,,,
15:00,15:15,talk,Hiring demystified,12,Mar Bartolomé,en,,UBLTaQ_tRl4,https://comunidad.es.python.org/t/hiring-demystified/371/1
15:15,15:20,community,Python Canarias,4,,,,6QxgyXe7_RA,
15:30,15:45,talk,"sudo pip install = 💩, pipx = 👌",1,Agustín Herranz Cecilia,,,Ay0dRxfduB0,https://comunidad.es.python.org/t/sudo-pip-install-pipx-ok/363/1
15:45,15:50,community,Python Madrid,8,,,,kaJTW_yZDm0,
16:00,16:15,talk,Una rebanada de Python,14,Naomi Ceder,,,EWuhXfPRF4I,https://comunidad.es.python.org/t/una-rebanada-de-python/364/1
16:15,16:20,community,Python Alicante,1,,,,Om2kcuqvAsM,
16:30,16:45,talk,AutoML (Machine Learning para Vagos),11,Manuel Garrido Peña,,,1gLM-cM_XJ8,https://comunidad.es.python.org/t/automl-machine-learning-para-vagos/373/1
16:45,16:50,community,Python Sevilla,13,,,,x0YF9q1pJcY,
17:00,17:15,talk,Introducción a la programación Funcional en Python,5,Andros Fenollosa Hurtado,,,iRGHfE4rEuQ,https://comunidad.es.python.org/t/introduccion-a-la-programacion-funcional-en-python/374/1
17:15,17:20,community,Mallorca Python,10,,,,CDmqQBreRmk,
17:30,17:45,talk,Machine learning model serving with streamlit and FastAPI,8,Davide Fiocco,en,,IvHCxycjeR0,https://comunidad.es.python.org/t/machine-learning-model-serving-with-streamlit-and-fastapi/375/1
17:45,17:50,community,PyLadies Madrid,7,,,,2H6wASZfGxQ,
18:00,18:15,talk,Robots PCR Covidwarriors,2,Aitor Gastaminza / Alex Gasulla / Victoriano Giralt / Ramón Martínez / Ernesto Sánchez,,,Dq40F-cIVKI,https://comunidad.es.python.org/t/robots-pcr-covidwarriors/376/1
18:15,18:20,lightning,Lightning Talk: Proyecto python-docs-es,14,,,,hV6buh56xW0,
18:30,18:45,org,PyConES 2020 Closing,,,,,MemK2vTUw9Q,
19:00,21:00,assembly,Asamblea Asociación Python España,,,,,,
