UID,community,about_short,about,twitter,meetup,webs,image,social_image,video_url,chat_url
1,Python Alicante,"Comunidad para gente que le gusta y quiere aprender a programar en Python. Estamos en Alicante, ¡Pero todo el mundo es bienvenido!","Comunidad para gente que le gusta y quiere aprender a programar en Python. Estamos en Alicante, ¡Pero todo el mundo es bienvenido! 

Síguenos en [Telegram](https://t.me/python_alc), [Twitter](https://twitter.com/python_alc) y en [GitHub](https://github.com/pythonalicante).",python_alc,python_alc,,static/images/communities/python_alicante.png,static/images/communities/python_alicante_social.png,Om2kcuqvAsM,
2,Python Almería,Comunidad local de Almería. Donde se trata temas relacionados con el lenguaje de programación Python. Organizamos charlas y talleres sobre python ,"Al abrigo del [HackLab Almería](http://hacklabalmeria.net) nace un grupo de personas interesadas en aprender y formentar el uso de Python en la provincia de Almería. Gracias al apoyo de [Python España](https://www.es.python.org/) y la [PSF](https://www.python.org/psf/) contamos con este meetup para hacer difusión de los eventos que vayamos desarrollando.
",,Python-Almeria,,static/images/communities/python_almería.jpg,static/images/communities/python_almería_social.png,Doub2vARmrc,
3,Python Barcelona & PyLadies Barcelona,"Python Barcelona (PyBCN) is a registered non-profit association. Our objectives are to spread the use and knowledge of the Python programming language and to be a meeting point for all the Barcelona Python community.

PyLadies BCN is an international mentorship group with a focus on helping more women become active participants and leaders in the Python open-source community. Our mission is to promote, educate and advance a diverse Python community through outreach, education, conferences, events and social gatherings","**Python Barcelona (PyBCN)** is a registered non-profit association. Our objectives are: 

 - To spread the use and knowledge of the Python programming language.
 - To be a meeting point for all the Barcelona Python community.

We organize different monthly activities: Python Meetups, practice sessions, PyLadiesBCN workshops, along with special annual events like PyDataBCN, PyDayBCN and DjangoGirlsBCN.

The association was born in 2018. After 10 years of experience conducting these activities, and more than 3000 members on Meetup, we decided to become a formal association.

**PyLadies BCN** is an international mentorship group with a focus on helping more women become active participants and leaders in the Python open-source community. Our mission is to promote, educate and advance a diverse Python community through outreach, education, conferences, events and social gatherings. 

PyLadies also aims to provide a friendly support network for women and a bridge to the larger Python world. Anyone with an interest in Python is encouraged to participate!","PyBCN,PyLadiesBCN","python-barcelona,PyLadies-BCN",https://pybcn.org,static/images/communities/python_bcn_and_pyladies_bcn.jpg,static/images/communities/python_bcn_and_pyladies_bcn_social.png,JYCcPr4QW_k,
4,Python Canarias,"Python Canarias es una asociación sin ánimo de lucro cuyos objetivos, son, entre otros, promover el uso del lenguaje de programación Python, dar soporte a quienes deseen aprenderlo y promover la programación como una competencia educativa básica","Python Canarias es una asociación sin ánimo de lucro cuyos objetivos, son, entre otros, promover el uso del lenguaje de programación Python, dar soporte a quienes deseen aprenderlo y promover la programación como una competencia educativa básica.

La asociación fue creada el 12/11/2018 y desde entonces ha organizado diferentes eventos de difusión del lenguaje de programación Python colaborando en el incremento de la comunidad de usuarios de Python en Canarias.",pythoncanarias,,https://pythoncanarias.es,static/images/communities/python_canarias.png,static/images/communities/python_canarias_social.png,6QxgyXe7_RA,
5,Python Castilla y León & PyData Salamanca,"PyData Salamanca: Grupo abierto e interdisciplinar orientado al análisis de datos y su difusión en la ciudad de Salamanca.

Python CyL: Nurevo grupo que trata de aunar a toda las personas entusiastas del lengiaje Python en Castilla y León","Comunidades de Python de Castilla y León: 

- PyData Salamanca: Grupo abierto e interdisciplinar orientado al análisis de datos y su difusión en la ciudad de Salamanca.
- Python CyL: Nurevo grupo que trata de aunar a toda las personas entusiastas del lengiaje Python en Castilla y León.",PydatalabUSAL,,,static/images/communities/paydata_salamanca.jpg,static/images/communities/paydata_salamanca_social.png,WeGSIZ-3SI8,
6,Python Granada,Comunidad para la gente que le gusta y quiere aprender Python. Nos encontramos en Granada pero todo el mundo es bienvenido,"Comunidad para la gente que le gusta y quiere aprender Python. Nos encontramos en Granada pero todo el mundo es bienvenido.

Contacta en [pythongranada@gmail.com](mailto:)pythongranada@gmail.com",python_granada,,,static/images/communities/python_granada.png,static/images/communities/python_granada_social.png,pgKXhg0cDyE,
7,PyLadies Madrid,Chapter de PyLadies cuyo objetivo es ayudar y motivar a más mujeres para que sean participantes activas y lideresas de la comunidad Python,"Somos una agrupación local de la organización internacional PyLadies, cuyo objetivo es ayudar y motivar a más mujeres para que sean participantes activas y líderes de la comunidad open source de Python.

Nuestra misión es promover, educar y avanzar en la diversidad de la comunidad Python, mediante la realización de cursos, conferencias, eventos y reuniones.",PyLadiesMadrid,PyLadiesMadrid,http://madrid.pyladies.com,static/images/communities/pyladies_madrid.png,static/images/communities/pyladies_madrid_social.png,2H6wASZfGxQ,
8,Python Madrid,Python-Madrid es un encuentro mensual en el centro de Madrid para compartir conocimientos y experiencias sobre el lenguaje Python o cualquier tecnología que lo envuelve,"Somos un grupo de meetup interesado en el lenguaje de programación Python o cualquier tecnología relacionada. Organizamos eventos mensuales desde 2011 para compartir conocimiento y hacer networking ;)

Síguenos en http://www.python-madrid.es/",python_madrid,python-madrid,https://www.python-madrid.es,static/images/communities/python_madrid.png,static/images/communities/python_madrid_social.png,kaJTW_yZDm0,
9,Python Málaga,La comunidad de Python Málaga crea este grupo para cualquier interesado en python que le apetezca acudir a los eventos que se organizan regularmente,"La comunidad de Python Málaga crea este grupo para cualquier interesado en python que le apetezca acudir a los eventos que se organizan regularmente. Siguenos en Telegram [@python_malaga](https://t.me/python_malaga) o en Twitter [@python_malaga](https://twitter.com/python_malaga).
",python_malaga,es-ES/python_malaga,,static/images/communities/malaga_python.png,static/images/communities/malaga_python_social.png,wnhtNjsSLe8,
10,Mallorca Python,Este grupo mallorquín quiere ser un lugar de encuentro y organización para toda aquella gente que se interese por la programación en Python,"Programar en Python es ágil, eficiente y divertido. Este grupo quiere ser un lugar de encuentro y organización para toda aquella gente que se interese por la programación en Python. La vida es demasiado corta como para no programar en Python.",MallorcaPython,Mallorca-Python-Meetup,,static/images/communities/python_mallorca.jpeg,static/images/communities/python_mallorca.jpeg,CDmqQBreRmk,
